Database Column Name,Table Label,Description,Uncertainties Column (positive +) (negative - )
koi_fpflag_co,Centroid Offset Flag,"The source of the signal is from a nearby star, as inferred by measuring the centroid location of the image both in and out of transit, or by the strength of the transit signal in the target's outer (halo) pixels as compared to the transit signal from the pixels in the optimal (or core) aperture.",
koi_fpflag_ec,Ephemeris Match Indicates Contamination Flag,"The KOI shares the same period and epoch as another object 
and is judged to be the result of flux contamination in the 
aperture or electronic crosstalk.",
koi_disp_prov,Disposition Provenance,Disposition Provenance,
koi_comment,KOI Comment,"A description of the reason why an object's disposition 
has been given as false positive. The following keywords 
are shorthand for certain criterion used to determine if 
a KOI is a false positive:
    

APO: ""Active Pixel Offset"" The pixels showing 
the transit do not coincide with the target star, 
indicating that the transit is actually on a background object.

Binary: Indicates the transit event 
is due to an eclipsing binary, not a planet.

EB: Target is an eclipsing binary, or 
there is an unresolved background binary.

odd-even: The depth of the even-numbered 
transits are statistically different than the depths 
of the odd-numbered transits; this is a sign of a 
background eclipsing binary.

V-shaped: Likely a grazing eclipsing binary.

SB1: Target star is a single-lined spectroscopic binary.

SB2: Target star is a double-lined spectroscopic binary.

A comment field may also contain a list of the minor flags 
as set by the Robovetter. See the documents for the DR 25 and DR 24 Robovetter KOI Flags for detailed descriptions.",
koi_period,Orbital Period (days),The interval between consecutive planetary transits.,"koi_period_err1, koi_period_err2"
koi_time0bk,"Transit Epoch (BJD - 2,454,833.0)","The time corresponding to the center of the first 
detected transit in Barycentric Julian Day (BJD) 
minus a constant offset of 2,454,833.0 days. The 
offset corresponds to 12:00 on Jan 1, 2009 UTC.","koi_time0bk_err1, koi_time0bk_err2"
koi_time0,Transit Epoch in BJD,"The time corresponding to the center 
of the first detected transit in 
Barycentric Julian Day (BJD).","koi_time0_err1, koi_time0_err2"
koi_eccen,Eccentricity,Eccentricity Value,"koi_eccen_err1, koi_eccen_err2"
koi_longp,Long. of Periastron (deg),Longitude of Periastron,"koi_longp_err1, koi_longp_err2"
koi_impact,Impact Parameter,"The sky-projected distance between the center 
of the stellar disc and the center of the 
planet disc at conjunction, normalized by the 
stellar radius.","koi_impact_err1, koi_impact_err2"
koi_duration,Transit Duration (hours),"The duration of the observed transits. Duration is 
measured from first contact between the planet and 
star until last contact. Contact times are typically 
computed from a best-fit model produced by a Mandel-Agol (2002) model fit to a multi-quarter 
Kepler light curve, assuming a linear orbital ephemeris.","koi_duration_err1, koi_duration_err2"
koi_ingress,Ingress Duration (hours),"The time between first and second contact of the planetary transit. 
Contact times are typically computed from a best-fit model 
produced by a Mandel-Agol (2002) 
model fit to a multi-quarter Kepler light curve, assuming a 
linear orbital ephemeris.","koi_ingress_err1, koi_ingress_err2"
koi_depth,Transit Depth (parts per million),"The fraction of stellar flux lost at the minimum of the 
planetary transit. Transit depths are typically computed 
from a best-fit model produced by a Mandel-Agol (2002) model fit to a multi-quarter Kepler light curve, assuming 
a linear orbital ephemeris.","koi_depth_err1, koi_depth_err2"
koi_ror,Planet-Star Radius Ratio,The planet radius divided by the stellar radius.,"koi_ror_err1, koi_ror_err2"
koi_srho,Fitted Stellar Density [g/cm*3],"Fitted stellar density is a direct observable from 
the light curve that, in the small-planet approximation,
 depends only on the transit's period, depth, and 
 duration (see Seager and  Mallen-Ornelas 2003). 
 This quantity is directly fitted in the LS and MCMC 
 methods, and is completely independent from the 
 listed stellar mass and radius, which are derived 
 using ground-based photometry, spectroscopy, and 
 other observations.","koi_srho_err1, koi_srho_err2"
koi_fittype,Planetary Fit Type,"Type of Fit for planetary parameters. Options are:

LS (Least Squares fit)
MCMC (Markov Chain Monte Carlo fit)
DV (Data Validation pipeline fit)
none (fit is not provided, only orbital period, transit epoch and transit duration are reported)
LS+MCMC (Least Squares Fit with Markov Monte Carlo error bars)",
koi_prad,Planetary Radius (Earth radii),"The radius of the planet. Planetary radius is 
the product of the planet star radius ratio 
and the stellar radius.","koi_prad_err1, koi_prad_err2"
koi_sma,Orbit Semi-Major Axis (Astronomical Unit (au)),"Half of the long axis of the ellipse defining a 
planet's orbit. For a circular orbit this is the 
planet-star separation radius. The semi-major 
axis is derived based on Kepler's third law, i.e., 
utilizing the orbital period and stellar mass, not
scaling the planet-star separation by the stellar radius.","koi_sma_err1, koi_sma_err2"
koi_incl,Inclination (deg),"The angle between the plane of the sky 
(perpendicular to the line of sight) and 
the orbital plane of the planet candidate.","koi_incl_err1, koi_incl_err2"
koi_teq,Equilibrium Temperature (Kelvin),"Approximation for the temperature of the planet. 
The calculation of equilibrium temperature assumes 
a) thermodynamic equilibrium between the incident 
stellar flux and the radiated heat from the planet, 
b) a Bond albedo (the fraction of total power 
incident upon the planet scattered back into space) 
of 0.3, c) the planet and star are blackbodies, and 
d) the heat is evenly distributed between the day 
and night sides of the planet.","koi_teq_err1, koi_teq_err2"
koi_insol,Insolation Flux [Earth flux],"Insolation flux is another way to give the equilibrium temperature. 
It depends on the stellar parameters (specifically the stellar radius 
and temperature), and on the semi-major axis of the planet. It's given
in units relative to those measured for the Earth from the Sun.",
koi_dor,Planet-Star Distance over Star Radius,"The distance between the planet and the star at 
      mid-transit divided by the stellar radius. For 
      the case of zero orbital eccentricity, the distance 
      at mid-transit is the semi-major axis of the planetary orbit.","koi_dor_err1, koi_dor_err2"
koi_limbdark_mod,Limb Darkening Model Name,"A reference to the limb-darkening model used to 
calculate stellar limb-darkening coefficients.",
"koi_ldm_coeff1,  koi_ldm_coeff2,  koi_ldm_coeff3,  koi_ldm_coeff4",Limb Darkening Coefficients,"Up to four coefficients (a1, a2, a3,
      a4) that define stellar limb darkening 
      (e.g., Claret 2000). Limb darkening is      the variation of specific intensity of the star as a function of μ
      = cos(θ). θ is the angle between the 
      line-of-sight of an observer and a line perpendicular to
      the stellar surface at an observed point. Coefficients 
      are dependent upon stellar temperature, surface gravity 
      and metallicity. Adopted coefficients are required input 
      for Mandel-Agol (2002) fits and are      
      extracted from archived tables (e.g.,  
      Claret and Bloemen 2011). Limb-darkening coefficients remain fixed during fit 
      minimization. Note that the dependence of limb-darkening 
      coefficients on stellar parameters implies that planet 
      radius does not scale linearly with stellar radius. 
      If new stellar parameters are adopted, the most-correct 
      approach is to re-fit the transit with new limb-darkening 
      coefficients in order to re-measure planet size.",
koi_parm_prov,KOI Parameter Provenance,KOI Parameter Provenance,
koi_max_sngle_ev,Maximum Single Event Statistic,"The maximum calculated value of the SES. Maximum 
SES statistics for different TCEs from the same 
target differ because the most significant TCE is 
removed from the time series before repeating the 
test for further, weaker transit signals.",
koi_max_mult_ev,Maximum Multiple Event Statistic,"The maximum calculated value of the MES. TCEs that 
meet the maximum MES threshold criterion and other 
criteria listed in the TCE release notes are 
delivered to the Data Validation (DV) module of the Kepler data analysis pipeline 
for transit characterization and the calculation 
of statistics required for disposition. A TCE 
exceeding the maximum MES threshold are removed 
from the time-series data and the SES and MES 
statistics recalculated. If a second TCE exceeds 
the maximum MES threshold then it is also propagated 
through the DV module and the cycle is iterated 
until no more events exceed the criteria. Candidate 
multi-planet systems are thus found this way. 
Users of the TCE table can exploit the maximum MES 
statistic to help filter and sort samples of TCEs 
for the purposes of discerning the event quality, 
determining the likelihood of planet candidacy, or 
assessing the risks of observational follow-up.",
koi_model_snr,Transit Signal-to-Noise,"Transit depth normalized by the mean uncertainty 
      in the flux during the transits.",
koi_count,Number of Planets,Number of planet candidates identified in a system.,
koi_num_transits,Number of Transits,"The number of expected transits or partially-observed 
transits associated with the planet candidate occurring 
within the searched light curve. This does not include 
that fall completely within data gaps.",
koi_tce_plnt_num,TCE Planet Number,TCE Planet Number federated to the KOI.,
koi_tce_delivname,TCE Delivery Name,"TCE delivery name corresponding to 
the TCE data federated to the KOI.",
koi_quarters,Quarters,"A bit string indicating which quarters of Kepler data 
were searched for transit signatures. Reading from left 
to right, the bits indicate the quarters, starting with 
quarter 1. A value of 1 for any bit means the designated 
quarter was searched for transits; a value of 0 means 
that quarter was not included in the transit search.",
koi_trans_mod,Transit Model Name,"A reference to the transit model used 
  to fit the data (e.g., Mandel-Agol 2002).",
koi_model_dof,Model Degrees of Freedom (DOF),"The number of degrees of freedom used when
  fitting the transit model to the data.",
koi_model_chisq,Model Goodness of Fit,"The goodness of the transit fit to the data. 
Within the TCE table, this quantity is 
the χ2 statistic. Within the KOI 
table this quantity is the reduced-χ2 statistic,
e.g., divided by the number of degrees of freedom in the fit.",
koi_datalink_dvr,Link to DV Report,"This is the relative path for the data validation report; 
use it when retrieving individual reports through the 
archive's application 
programming interface with wget. You must append 
the following URL to the file name in your wget query:
 http://exoplanetarchive.ipac.caltech.edu/data/KeplerData/",
koi_datalink_dvs,Link to DV Summary,"This is the relative path for the data validation summary; 
use it when retrieving individual reports through the 
archive's application 
programming interface 
with wget. You must append the following URL to the file 
name in your wget query: http://exoplanetarchive.ipac.caltech.edu/data/KeplerData/",
koi_steff,Stellar Effective Temperature (Kelvin),The photospheric temperature of the star.,"koi_steff_err1, koi_steff_err2"
koi_slogg,Stellar Surface Gravity (log10(cm s-2),"The base-10 logarithm of the acceleration 
	  due to gravity at the surface of the star.","koi_slogg_err1, koi_slogg_err2"
koi_smet,Stellar Metallicity,"The base-10 logarithm of the Fe to H ratio 
	  at the surface of the star, normalized by 
	  the solar Fe to H ratio","koi_smet_err1, koi_smet_err2"
koi_srad,Stellar Radius (solar radii),The photospheric radius of the star,"koi_srad_err1, koi_srad_err2"
koi_smass,Stellar Mass (solar mass),The mass of the star,"koi_smass_err1, koi_smass_err2"
koi_sage,Stellar Age (Gigayears),The age of the star,"koi_sage_err1, koi_sage_err2"
koi_sparprov,Provenance of Stellar Parameters,"A flag describing the source 
  of the stellar parameters.
  

KIC = The parameters are extracted from the Kepler Input Catalog (Brown et al. 2011). Uncertainties of Teff = 200 K, log(g) = 0.3 dex and [Fe/H] = 0.4.


J-K = The star is unclassified in the KIC, J-K has been used to estimate temperature. The host star is assumed to be on the ZAMS with corresponding log(g) based on the Schmidt-Kaler relation.


Solar = The star is unclassified in the KIC, so the host star is assumed to have solar properties.


SME = Spectroscopic parameters derived from SME analysis (Valenti and Piskunov 1996). Stellar parameters are derived based on stellar evolution models.


SPC = Spectroscopic parameters derived from SPC analysis (Buchhave et al. 2012). Stellar parameters are derived based on stellar evolution models.


Pinsonneault = Uses a revised Teff scale from Pinsonneault et al. (2012) with [Fe/H] fixed at -0.2. The quantity log(g) is taken from the KIC. Values are then revised by fitting to Yonsei-Yale stellar evolution models (Yi et al. 2001).


Astero = Host star properties have been measured by comparison with astroseismologial models.",
ra,RA (deg),KIC Right Ascension,ra_err
dec,Dec (deg),KIC Declination,dec_err
koi_kepmag,Kepler-band (mag),Kepler-band (mag),koi_kepmag_err
koi_gmag,KIC g'-band mag,g'-band mag from KIC,koi_gmag_err
koi_rmag,KIC r'-band mag,r'-band mag from KIC,koi_rmag_err
koi_imag,KIC i'-band mag,i'-band mag from KIC,koi_imag_err
koi_zmag,KIC z'-band mag,z'-band mag from KIC,koi_zmag_err
koi_jmag,KIC J-band mag,J-band mag from 2MASS,koi_jmag_err
koi_hmag,KIC H-band mag,H-band mag from 2MASS,koi_hmag_err
koi_kmag,KIC K-band mag,K-band mag from 2MASS,koi_kmag_err
koi_fwm_sra,"FW Sourceα(OOT) 
units: hours","The Right Ascension (J2000) of the location of the 
transiting object calculated from the flux-weighted 
centroids. This result does not reflect the systematics 
due to crowding which can introduce significant errors 
in the calculated position.",koi_fwm_sra_err
koi_fwm_sdec,"FW Source δ(OOT)
units: degrees","The Declination (J2000) of the location of the transiting 
object calculated from the flux-weighted centroids. 
This result does not reflect the systematics due to crowding 
which can introduce significant errors in the calculated position.",koi_fwm_sdec_err
koi_fwm_srao,"FW Δα(OOT)
units: seconds (not arcseconds)","The RA (J2000) flux-weighted centroid shift. This is the RA 
of the in-transit flux weighted centroid minus the RA of the 
out-of-transit flux weighted centroid.",koi_fwm_srao_err
koi_fwm_sdeco,"FW Δδ(OOT)
units: arcseconds","The Dec (J2000) flux-weighted centroid shift. This is the Dec 
of the in-transit flux weighted centroid minus the Dec of the 
out-of-transit flux weighted centroid.",koi_fwm_sdeco_err
koi_fwm_prao,"FW Source Δα(OOT) 
units: seconds (not arcseconds)","The calculated Right Ascension offset of the transiting or 
eclipsing object from the KIC location of the target star. 
The accuracy of this calculation degrades when the transit 
source has significant flux that falls outside the photometric 
aperture + a halo of pixels around it.",koi_fwm_prao_err
koi_fwm_pdeco,FW Source Δδ(OOT) units: arcseconds,"The calculated Declination offset of the transiting or eclipsing 
object from the KIC location of the target star. The accuracy 
of this calculation degrades when the transit source has significant 
flux that falls outside the photometric aperture + a halo of 
pixels around it.",koi_fwm_pdeco_err
koi_fwm_stat_sig,Flux-Weighted Offset Significance (percent),"Indicates whether there is a statistically significant flux-weighted 
offset between in-transit and out-of-transit images.  100% indicates 
there is no offset and there is confidence that the transit is on the 
target star. The accuracy of this calculation degrades when the transit 
source has significant flux that falls outside the photometric 
aperture + a halo of pixels around it.",
koi_dicco_mra,PRF ΔαSQ(OOT) units: arcseconds,"The angular offset in the RA (J2000) direction between the best-fit 
PRF centroids from the Out-Of-Transit image and the Difference Image 
by averaging the weighted single-quarter measurements. The out-of-transit 
centroids are subtracted from the difference image centroids.",koi_dicco_mra_err
koi_dicco_mdec,PRF ΔδSQ(OOT) units: arcseconds,"The angular offset in the Dec (J2000) direction between the best-fit 
PRF centroids from the Out-Of-Transit image and the Difference Image 
by averaging the weighted single-quarter measurements. The out-of-transit 
centroids are subtracted from the difference image centroids.",koi_dicco_mdec_err
koi_dicco_msky,PRF ΔθSQ(OOT) units: arcseconds,"The angular offset on the plane of the sky between the best-fit PRF 
centroids from the Out-Of-Transit image and the Difference Image 
by averaging the weighted single-quarter measurements. The out-of-transit 
centroids are subtracted from the difference image centroids.",koi_dicco_msky_err
koi_dikco_mra,PRF ΔαSQ(KIC)  units: arcseconds,"The angular offset in the RA (J2000) direction between the best-fit 
PRF centroids from the difference image and the Kepler Input Catalog position by averaging the weighted single-quarter measurements. The KIC 
position is subtracted from the difference image centroids.",koi_dikco_mra_err
koi_dikco_mdec,"PRF ΔδSQ(KIC) 
units: arcseconds","The angular offset in the Dec (J2000) direction between the best-fit 
PRF centroids from the difference image and the Kepler Input Catalog position by averaging the weighted single-quarter measurements. 
The KIC position is subtracted from the difference image centroids.",koi_dikco_mdec_err
koi_dikco_msky,"PRF ΔθSQ(KIC)
units: arcseconds","The angular offset in the plane of the sky between the best-fit PRF 
centroids from the difference image and the Kepler Input Catalog position by averaging the weighted single-quarter measurements. 
The KIC position is subtracted from the difference image centroids.",koi_dikco_msky_err
